visit_time,review_date,rating,title,comment
September 2016,"October 18, 2016 ",1,"Awful staff, refused business because I came 15 minutes before close!",Ate here before and everything was great. Came back 15 minutes before close and was told by the African American woman that they were short staff (there were 2 tables that were eating) and that they could only do take out. There was another waitress 
September 2016,"September 27, 2016 ",5,"Delicious, great service","Service was great on a weeknight. Tried Money Bags appetizer based on reviews. They did not disappoint, though rich and sweet. The Mushroom Lovers entree was very good. Two of us ate for $40 and that included an appetizer. Asked for spice tray after reading "
September 2016,"September 27, 2016 ",5,Great Thai,We had lunch here yesterday and it was fabulous.  I chose Crab Fried Rice along with the Hot and Sour Soup.  Both were really good and the crab was excellent.  The rice is perfectly cooked and just the right portion size.  The soup is quite 
September 2016,"September 20, 2016 ",4,Lunch was delicious!,Had lunch with coworkers and was concerned about the service at first but after ordering the food was served very quickly and was wonderful!
September 2016,"September 17, 2016 ",4,Consistently great food,"One of my favorite places (if not my fav) to eat in Topeka.  The restaurant changed hands a few years back but the food seems to still be good.  If I'm with others we always get the money bags for a starter, but the regular "
August 2016,"September 13, 2016 ",4,A great local restaurant - best Asian food in Topeka,"Topeka mostly has chain restaurants,  but this a great exception. We have dined here  many times over the last 15 years,  and it is still a favorite of our family.   Its better than any of the Thai restaurants in Kansas City in my opinion. Lots "
September 2016,"September 12, 2016 ",5,Yum!,If this place were on Wanamaker it'd be packed every night but I'm so glad it's not!  The food is always fresh and delicious and staff is great. I always get the crab fried rice with a spice tray so I control the heat in 
February 2016,"September 12, 2016 ",4,Thai Delight,"If you love Thai food, you will love Tuptim Thai. My favorite is the Chicken Pad Thai. The peanut sauce is wonderful. If you tell the waitress you want it mild, the chef will accommodidate. The chicken satay is excellent. We love to finish the "
September 2016,"September 12, 2016 ",5,Always a treat,"This is one of my favorite restaurants, especially for lunch. They are consistently good, seat you fairly quickly for as busy as they stay, serve you quickly and make sure your drinks stay filled. Wonderful Thai food, and you can go as spicy or mold "
August 2016,"August 30, 2016 ",4,great staff compliments the great food,The staff has always been friendly and helpful in selecting items and the selections we have tried have been marvelous.  Try the coconut milk soup.
August 2016,"August 23, 2016 ",4,Great food,"I haven't been there since they were at their last location

but when i went the food was very tasty and the service was great"
August 2016,"August 23, 2016 ",5,Great place to eat!,"Tuptim Thai is a great place to eat. The food is excellent. The service is great. The restaurant is very clean and relaxing. I would suggest you start with an appetizer, then enjoy a fantastic entrée. I have never had bad food or service here."
August 2016,"August 22, 2016 ",5,excellent lunch!,"Tuptim Thai is a gem of a restaurant. From the owners down, the staff is very friendly and professional.  The food is exceptional, highly recommended."
August 2016,"August 22, 2016 ",5,Best Thai food on the region,"Food is very  tasty. Don't miss their ""money bags"" appetizers. I usually order extra veggies, and medium hot is plenty hot for me. Highly recommended."
August 2016,"August 21, 2016 ",5,Excellent dinner,"Wonderful restaurant! We're so excited about our new discovery.

The interior ambiance is everything I expect in a Thai place relaxed, but well decorated and very clean.

Wife had Thai basil, and the waitress easily and pleasantly changed it to gluten free by subbing bamboo shoot "
August 2016,"August 21, 2016 ",3,Okay but not great,"I love thai food. I've been to thai restaurants in Houston, Denver, Jackson Hole, Wichita, etc. This is not the best thai place I've been to. In fact, I may not go back. The restaurant is clean and waitstaff is friendly, but the food is "
August 2016,"August 17, 2016 ",4,Better Thai than any I've had!,"My whole family loves going to TT. Chickn Satay, money bags, Chicken & Basil, Pad Thai, Drunken noodles, Pad Thai Gang Dang  the list goes on for enjoyable dishes! Have tried Pad Thai several other places and always comment, ""Not as good as Tuptim!""  Have "
August 2016,"August 13, 2016 ",5,They've got it figured out!,"Fresh, yummy stuff that's consistent and affordable.  That's some of what makes TT worth a visit.  It's never been the case that I've been there (dozens of times over the last several years) without a crowd there--the place is always full for lunch which also "
July 2016,"July 28, 2016 ",4,Always good!,"We frequent this restaurant quite frequently and it never disappoints. 
We always get the sampler and beef mint salad as starters. Delicious, but always so unnecessary due to the huge portions you get with the entrees. I know some complain that it's expensive, but it's "
July 2016,"July 26, 2016 ",5,Great food and great service,"My go-to dish is definitely the Chicken Pad Thai with an order of money bags to share with the group. Perfect spot for lunch with friends, date night or even a business lunch/dinner."
June 2016,"July 25, 2016 ",5,Excellent food and service,Best run restaurant in Topeka.  Service is excellent.  Restaurant is always very clean.  Food is top notch.  You will not be disappointed with your visit.
July 2016,"July 19, 2016 ",4,A Culinary Surprise in Topeka,"Finding something other than steak and BBQ in Kansas is a challenge. Tuptim Thai is not only a welcome change but a delicious one as well. There is a wide variety of dishes available and all are made to your taste (heat level). Friendly staff, "
July 2016,"July 19, 2016 ",5,Yum!,"We typically order the same thing fresh spring rolls & Beef Phad Thai. We have also enjoyed pork or chicken and money bags, but our standard order is always fantastic. Delicious & afforda"
July 2016,"July 14, 2016 ",5,The Best Thai food in Kansas!!!!,"Wow, we were driving through Kansas from Denver to go out east and wanted some good Asian food.  We were absolutely shocked by how delicious the Thai food was.  It was very authentic!  We lived in Thailand for several months so we know what it "
May 2016,"July 8, 2016 ",5,Great food,Our girls always want to go here for dinner they are a little pricey but really good food the money bags and spring rolls are to die for !
July 2016,"July 8, 2016 ",4,Good Thai food in Topeka,"We enjoyed our dinner at Tuptim Thai. Friendly and helpful staff combined with excellent food is always a pleasure. The spice level of our special Pad Thai ""gang dang"" was perfect at medium. You certainly get a lot for your money; we split an entree "
June 2016,"July 6, 2016 ",5,Very impressed,I have never had Thai food and I really liked it. I will be back to this restaurant every chance I get.
July 2016,"July 5, 2016 ",4,"Great food, average service.","As usual, the food here was excellent. Be aware that even medium spicy is pretty warm. The money bags is a good appetizer choice. Everything on the menu is good. Unfortunately, after our food arrived we did not see our waitress again until she brought "
June 2016,"July 5, 2016 ",5,Authentic fresh Thai food,We arrived at 5 when they open for dinner. We were not the only people waiting to get inside. We were seated quickly and the wait staff were friendly and helpful. The menu has a lot of choices and they all sounded good. The server 
April 2016,"July 5, 2016 ",4,Unique food,"Was ok for me,  but my daughter and husband really liked it.  They have different type of sauces to choose from and very nice and clean inside."
June 2016,"June 27, 2016 ",5,Amazing food!,"My parents and I are visiting from out of state to see a relative and they have had dinner here before.  Tonight we went there again (I had never been before).  I have had Pad Thai many times before, but this Pad Thai was just "
June 2016,"June 26, 2016 ",5,I'd love to try it again.,We went in a group for dinner and there was no wait.  The place is clean and nice and the food was delicious.  Everyone had huge portions and loved their choice.  The waitress was friendly and efficient.  I ordered the dumplings which were the special 
June 2016,"June 16, 2016 ",5,Delicious,"Amazing pad thai, and generous portions.  Pretty nice ambiance,  booth seating available.  Still  have  leftovers in the fridge"
June 2016,"June 15, 2016 ",5,The Best,"I live in Oklahoma and try to get to Tuptim Thai every time I visit Topeka. I'm quite addicted to the Pad Thai. I request ""medium"" heat level, and it's perfect. Prices are reasonable, and the service quite good."
June 2016,"June 10, 2016 ",4,First timers for Thai,My family and I have never had Thai food. We opted to go to Tuptim based on reviews through Trip Advisor. We made a great decision eating here. The food was super good and reasonably priced! We are a family of three with a 6 
June 2016,"June 9, 2016 ",4,Tuptim Thai,Stopped in for lunch while preparing for the Mulvane Arts Festival. Prices are reasonable and the food was very good. Had some egg rolls as an appetizer and finished with the Pad Thai. Both very good
May 2016,"June 9, 2016 ",5,Awesome Thai Food in the Heartland!,"Since moving to the Midwest from California three years ago, I have not had any Thai food.  My first opportunity was when our office had a birthday party at Tuptim Thai a couple of months ago.  I ordered the pad Thai noodles with chicken, medium "
June 2016,"June 6, 2016 ",5,"Great food, something for everyone","Ate here while traveling with my wife and sleepy baby. Location is good, easy to get to off of SW 29th. We caught the tail end of lunch service at 1:30pm. Service was excellent. Our server answered all of our questions and was prompt to "
June 2016,"June 5, 2016 ",5,Delightful,Best pad Thai I have ever had. It is a local gem in Topeka hidden from the hustle and bustle of Wanamaker. The food never disappoints
February 2016,"June 4, 2016 ",5,"Yummy spicy, and sweet, loved it all!","Yum, I loved it and the money bags appetizers were fantastic. We went for dinner and enjoyed all of it!"
June 2016,"June 1, 2016 ",5,"Great food, generous portions","Went there for lunch with my son. Service was fast, good for getting back to the office. Food was excellent. My son thought it was a little spicier than usual, so not sure about consistency but he liked it. Large portions - we both took "
May 2016,"June 1, 2016 ",5,Best place in Topeka,"Love the panang and the money bags especially and I'm a sucker for the coconut rice too. Thai iced tea is fun as well. If you're a dumpling lover though that's one area id avoid. Not what you'd expect from a self-respecting authentic Thai place, "
May 2016,"May 1, 2016 ",5,Oh yes!,"What a great surprise. I didn't see the reviews before we went in. Amazing flavors in our gang dang pad Thai which was traditional flavors of pad Thai, red curry and a slight amount of cabbage and bean sprouts. Sweetest server. Nice atmosphere. Beat Thai "
April 2016,"April 26, 2016 ",5,Wow!,When we go to Topeka to visit my son and his wife we now have to go to Tuptim Thai every time. We have joked that Tuptim Thai is really the reason that we go to Topeka. The food has been amazing every time.
October 2015,"April 26, 2016 ",5,Halloween visit ,"I love Tuptim. I try and order a different appetizer every time but I always end up getting the same entree; the larb salad with chicken, medium heat. It's as close to genuine Thai food as your going to get in topeka and it's amazing."
March 2016,"April 25, 2016 ",5,Simply the best,"When a family member comes to town who has spent several years teaching in Thailand, and she asks where she can find REAL Thai food, Tuptim Thai is my answer. Excellent food for any price range, but the prices are very reasonable. I just can't "
April 2016,"April 25, 2016 ",5,Gormet Lunch for less than $10,Each dish is individually prepared fresh and served on China with cloth napkins and a tablecloth. This establishment is clean and well staffed. A work of art.
January 2016,"April 4, 2016 ",5,Delicious,Tuptim Thail was absolutely delicious. I ordered the drunken noodles and they were by far the best I've had. We also ordered pad thai which was very good.
March 2016,"April 2, 2016 ",1,No Service...,"I would like to say thank you to the staff at Tuptim Thai. For you are the reason I had such a wonderful dinner at another restaurant last night. 

Why would I thank them for a dinner I so graciously enjoyed at another restaurant you "
March 2016,"March 31, 2016 ",5,Tremendous Thai!,My absolute favorite restaurant in Topeka; hands down. Everything on the menu is wonderful but the duck dishes are killer. Always very friendly and attentive service. Nice quiet atmosphere even when busy. Just an overall excellent experience.
March 2016,"March 26, 2016 ",5,Great Thai Food - Huge Portions,"This is surprisingly excellent Thai food that one would ordinarily not expect to find in a relatively small midwest City.  The servers were very familiar with the menu and answered all our questions about spices used, sources of seafood, preparation, etc.
One caution:  the portion "
March 2016,"March 21, 2016 ",5,Tuptim Yum,"We went to this restaurant years ago when it was a couple blocks from the current location, where it has been for years, but had not been back mostly because it is further from our house than other Oriental places. Looking for somewhere new, we "
January 2016,"March 16, 2016 ",4,We love it!,"Tuptim Thai is my wife's favorite restaurant in Topeka. We go there for date nights when it's her turn to pick. We also get carry out quarterly probably (Pineapple Fried Rice and Pad Thai).

The food isn't overly pricey and the quality is great. TT's "
March 2016,"March 16, 2016 ",5,Always delicious,Tiptim Thai is the best Thai food in Kansas! Always super fresh with an amazing wait staff. Try it today :)
November 2015,"March 15, 2016 ",5,Tuptim in the Top,This is one spot in the Top City that never disappoints. The Money Bags are a must have & just about any dish you choose follows suit. If moderately priced Thai/Asian food is what you crave you've got to try this place!!
February 2016,"March 11, 2016 ",3,Good but not great.,"I think the ""Money Bags"" might have caused stomach problems. It was during a lunch break and service was fine."
February 2016,"March 5, 2016 ",4,Best Thai in Topeka,"Fantastic, affordable meal.
Large portions of delicious Thai food. 

Recommend the ""money bags,"" a small appetizer that reminds one of Crab Rangoon, only better in every way.

Of the dozen people that I've spoken to, they've yet to find a bad meal. In the few "
October 2015,"February 17, 2016 ",5,EXCELENT THAI RESTAURANT,"This Thai restaurant is one where I take out-of-town guests, as well as myself.  To my knowledge, it's Topeka's only Thai venue, but it's a fine one.   It's well-spoken of by food aficionados in the community, by those who rise above the familiar chain restaurants ."
June 2015,"February 8, 2016 ",4,Tuptim Thai,Food was good but a bit over priced in my opinion for Asian food.  My service was a bit slow but they were very busy for lunch and our group was about fourteen
February 2016,"February 2, 2016 ",4,Spicy thai food,It's our favorite thai restaurant in topeka so far. We like the turmeric chicken fried rice and golden thread noodles here. We have been here couple of times and the service is good. It's very busy on Friday afternoons with waiting time upto 30 mins .
January 2016,"January 30, 2016 ",4,Excellent Thai food - Lacks Ambiance,"Nice meat and vegetarian choices of dishes for lunch and dinner, quick service. Quality and quantity of dishes are excellent, prices very reasonable. Good for singles, couples, small business groups. The dining room is brightly lit and Spartan in its decor and lacks ambiance. Fortunately "
January 2016,"January 24, 2016 ",3,I absolutely do not understand the excellent reviews!,"My husband and I went to Tuptim Thai for the first time on Saturday January 23 after repeatedly seeing such wonderful reviews.

The restaurant: the restaurant is nice and clean, but the lights are kept too dim. Not sure what the purpose is. I only "
December 2015,"January 5, 2016 ",5,My family loves Thai food- this is the best we've found anywhere.,"We also hunt for Thai restaurants on out-of-town trips. Fortunately for us, our favorite Thai place is in our home city! The new owner has done a great job of keeping and even improving the quality. The service is outstanding. I'm not crazy about the "
November 2015,"January 4, 2016 ",4,Great place to get dinner,"I have visited Tuptim Thai numerous times over the years, typically for dinner, sometimes for lunch.

Service is always good, the food is great."
November 2015,"January 2, 2016 ",4,Clean and Good,"Tuptim Thai is a clean, friendly, and gives a good size portion with all their dishes.  The price is a mid range, but a good value for the portion size."
November 2015,"December 15, 2015 ",4,"I'm not a Thai fan, but this is the best one I've tried....","Tuptim Thai has quite a word-of-mouth buzz around Topeka.  I'm not really a fan of Thai food, but I do like this one.  Lots of friends rave about this place.

Try the ""money bags."" One of my favorites!"
October 2015,"December 15, 2015 ",4,"Good food in Topeka, Kansas","I understand this place has changed hands  , I had lunch after the transfer. 
The food was good when I was there. This restaurant serves good food at a reasonable price . The service is very good. It has 
Lots of business  , you can "
December 2015,"December 12, 2015 ",4,Very good,"They have very good food. I always order the pad thai noodles and the money bags, which are a type of crab rangoon. All of my coworkers and I enjoy eating here and the price is very reasonable. Really good for coworkers to go out "
November 2015,"December 7, 2015 ",5,Real Thai in Topeka,Been many times when lived in Topeka. Had to go when we came to visit in October. Hard to find quality food with some character beyond meat and potatoes in Topeka. Our favorite place in the area.
December 2015,"December 5, 2015 ",3,Just ok,"I was in Topeka with friends for an art gallery opening and after much discussion, we decided to eat here for dinner. The waitress was friendly and the money bags appetizer was good. My main dish, however, was nothing special. I ordered the Mushroom Lovers "
October 2015,"November 12, 2015 ",5,Excellent experience,"Pretty picky about Thai food, and this restaurant definitely impressed us.  Service was great.  Husband had a coconut curry dish that was excellent.  I had shrimp pad thai.  Really really good.  Huge servings.  Highly recommend."
October 2015,"November 5, 2015 ",5,Amazing,"We LOVE Tuptim Thai! We love their Money Bags, they are like crab ragoon, but SOOO much better! They are light, fluffy and SO tasty.The quality of the food is consistent and good. And the prices are worth the visit. Always a great meal with "
October 2015,"November 3, 2015 ",4,"For the money, the best restaurant in Topeka.",This is my favorite restaurant in Topeka. The quality of the food is consistent and good. And the prices are worth the visit.
October 2015,"October 30, 2015 ",5,Mrs,Great Thai! Great service and prices. Everything is fresh!!! Delicious food minimum  wait times locally owned.
September 2015,"October 29, 2015 ",5,delicious food with fast service,"always a great meal with generous servings, great service, and as much spice as you want and request, atmosphere is pleasant, serene"
March 2015,"October 28, 2015 ",5,Best Thai in Topeka.,"I love curry, and this place is my favorite place to get it. Nothing better than Panang on a cold rainy day. You can ask for a spice tray to liven up your dish, but medium is plenty spicy enough for me. The atmosphere is "
October 2015,"October 26, 2015 ",5,Wonderful food,This was my first time having Thai and I was not disappointed. We had the money bags to start which are the absolute best. I ordered sweet chili noodle with chicken. I asked for med-hot and they got it just right. The flavors were soooo 
September 2015,"October 26, 2015 ",5,Thailand in Topeka,"Are you a connoisseur of Thai cuisine? Surprise - of the best kind - right here in Topeka is one of the best Thai restaurants in the continental US!  Tuptim Thai has a large and varied menu.  Some like it hot, and some not so "
October 2015,"October 26, 2015 ",5,Thai at it's best,I have eaten here for years. It is always very good with a good staff. If you like Thai try it. Really like the spring rolls
October 2015,"October 20, 2015 ",5,Just great!,"I went here for the first time for lunch. Fantastic. Be sure to order the ""money bags"" appetizer. huge portions, clean place, good date type place or simple dinner/lunch. Just really good food. Dont judge by the outside, try it out really good staff"
May 2015,"October 14, 2015 ",4,First Time Patron,The staff was friendly and gave wonderful advice and suggestions.  They took the time to explain what the different foods were and they did a great job caring for our larger group.
October 2015,"October 3, 2015 ",5,Great authentic Thai,Had a wonderful time at this fresh and authentic Thai restauranti. I ordered the barbecue chicken followed by the mango
September 2015,"September 30, 2015 ",5,Fresh & tasty,"Most recent trip for lunch I had the special of the day, a version of pad Thai with more than one meat & included shrimp. As always, the food was amazing. The serving was so generous I had leftovers to take home.
Always had prompt "
September 2015,"September 30, 2015 ",5,Amazing,"We love this restaurant! Some of the best Thai food I've had anywhere. I absolutely love the Mint Leaf Salad and my husband loves the Panang Curry. We always order a mild spice level, as even the mild is still plenty spicy. Hope you enjoy "
March 2015,"September 29, 2015 ",5,great Thai Food,I enjoy the complex flavors of this cuisine!  I also like that they will adjust the heat to your preference.
July 2015,"September 22, 2015 ",5,Amazing Thai Food,Family went on a 3 week 5800 mile East Coast adventure.  We ate at 3 Thai restaurants.  This was clearly the best.  Simple building and decor but wonderful Thai food. Ordered 4 different entrees and they were all delicious.
September 2015,"September 13, 2015 ",4,Great spice of life ,The food is awesome. Just the right spices to up your metabolism and to wake u up at lunch. The peanut sauce is awesome sauce
August 2015,"September 5, 2015 ",4,Great food for Topeka,Tuptin Thai restaurant has good food.  It can be a bit expensive but not more than most area restaurants.  I am not a big fan of Thai food but my grown kids are.  Everytime they visit they have to eat there. Some of the entrees 
February 2015,"September 1, 2015 ",5,One of the best restaurants in Topeka,"Try the money bags they are Topeka famous. I also love the ginger. They will make your meal as hot as you'd like, so the taste really appeals to everyone in our party every time we go. I can't say enough great things about Tuptim T"
August 2015,"August 29, 2015 ",4,"Excellent Qulity, Well-Prepared Thai Food","This continues to have some of the best dining in the Topeka Area. We chose the sampler platter appetizer including money bags, fresh spring roles and fried spring roles. All were good but the fried items were best. For an entrée we split the Mushroom "
August 2015,"August 17, 2015 ",5,Thai-reffic!,"Stopped on way to Colorado and had a terrific meal. The sweet chili noodles were incredible! My traveling companion had pad Thai, it was excellent also!"
August 2015,"August 17, 2015 ",5,Makes my mouth happy,"My wife says that this place ""makes my mouth happy"". 

This is our favorite restaurant in Topeka.  The freshness, flavors and seasoning of the food is the best Thai food that I have eaten.  

Their lunch specials are quick, and tasty.  The specials include soup "
July 2015,"August 15, 2015 ",5,One of our favorites,"We have been going to Tuptim Thai since they opened in their original building on Kansas Avenue.  The food is addictive!  My husband always orders Rama the Great, I always order Pineapple Fried Rice with tofu.  We always start with Chicken Satay - the peanut "
August 2015,"August 15, 2015 ",1,Would you like Pinesol with your meal?,"I went to Tuptim Thai Aug 14'th for my birthday.  We arrived shortly after 8 pm.  The host said ""Sit anywhere you like"", so we sat in the back by a window in a booth. There was another group of people there, ptobably four or "
June 2015,"July 26, 2015 ",4,very decent thai food for topeka or anywhere really. but consistency has been lacking recently,"I've eaten a lot of thai food in my travels , us and int'l, and tuptim thai holds it's own. now living in topeka, maybe i am satisfied because compared to anything else in topeka, tuptim is great. Another reveiwer mentioned consistency, at one time "
June 2015,"July 22, 2015 ",5,A repeat due to consistent food and happy servers!,"I don't always review Tuptim Thai because we visit about once a month!  This is our go-to place for a quick seating, happy servers, and consistent flavors. BEST Asian restaurant in Topeka! (And I'm a tough sell having lived in the Bay Area for nearly "
July 2015,"July 20, 2015 ",4,Great Thai food!,The owner chef is a Thai!  And the dishes are authentic and delicious!  Very fresh ingredients.  If you like good Thai food you will be very happy here.
March 2015,"July 9, 2015 ",4,Good Food,"My husband and I have been there several times , I truly enjoy the food . It,s asian flair I enjoy the various entrees, and choices . My favorite is Sweet and sour Chicken"
June 2015,"July 8, 2015 ",5,Great food and service,"I had the Panang Curry, which has tied with 2 other entrees for my favorite. They were very busy, at 6 pm, which is to be expected. The wait for my food wasn't very long. It was delicious as always. The staff is always helpful, "
June 2015,"July 8, 2015 ",5,Yum,I've been putting this place off because my husband doesn't like Asian food but my father in law agreed to try it with me and Wow! It was so good. Not kid friendly at all but delicious.
May 2015,"July 1, 2015 ",4,Great atmosphere and good food,"Good prices for good food. But I do believe that they charge way to much for their Money Bags. I like them but I won't pay that price for as little as you get. 
Service has always been excellent except for this last time and "
June 2015,"July 1, 2015 ",4,A delicious lunch!,My wife and I ate at Tuptim Thai in June 2015 and loved it. We started off with an order of money bags which were in a word money. I had the popular crab and rice. You cannot get fresh lump crab dishes at this price 
July 2015,"July 1, 2015 ",5,Yeah it is back open!!!!,It was closed for a bit but have heard it is back open. Will try again this weekend.  But always enjoyed the food before.  Good food.  Good service.  Reasonable price
May 2015,"June 30, 2015 ",5,This is Thai food.,"My wife and I love this place. We almost always order the same thing, we start with two orders of Money Bags (one each because who wants to share them) and some form of Phad Thai. She usually does beef, I bounce between seafood, shrimp, "
May 2015,"June 30, 2015 ",5,Hot and spicey Thai food at reasonable prices,I love the variety available on their menu! The food was perfectly prepared and served politely and efficiently!
June 2015,"June 29, 2015 ",5,"Great food, reasonable prices",There are less exotic choices for our kids (and for the less brave of heart).  The staff is wonderful.  We go all the time & LOVE it;)
April 2015,"June 3, 2015 ",4,Thai in Topeka,Nice reasonably priced Thai food. The restaurant is a little of the beating path but a great find.  All of the standard favorites are on the menu.
June 2015,"June 3, 2015 ",5,Outstanding as Always,"I had dinner here with old friends two nights ago, after having been away from Topeka for two years.  I was a regular at Tup Tim Thai when I lived here and found it to be one of the 3-4 best local restaurants in Topeka ."
May 2015,"May 26, 2015 ",5,Excellent food and service.,I enjoy this restaurant because I have never had a bad meal. The service is quick and atmosphere is quieting.
March 2015,"May 20, 2015 ",5,No kids menu,"Food is good!  Service is good.  Usually come with out kids, no kids menu.  But nice for adult evening.  Not open everyday."
May 2015,"May 20, 2015 ",5,First of what will be many visits,"My wife and I ate at Tuptim Thai after hearing many good things from family and friends; I must say we were not disappointed.

The restaurant has a peasant décor and is very clean.  With this being our first time at the restaurant  and not "
April 2015,"May 19, 2015 ",5,very helpful waitstaff and great food,Love Love Love the pad thai and the soup . lots of choices on the menu and they will customize your dish if needed.
May 2015,"May 19, 2015 ",5,Best restaurant in Topeka,"Nice family run restaurant with excellent, tasty food.  Select the degree of heat you want for each dish and ask for the spice tray if you want more.  I like to go with a group of 4 or more and  ask them to serve family "
May 2015,"May 12, 2015 ",5,Excellent Thai Food,"Tuptim Thai is one of the few restaurants that I frequent in Topeka, Kansas. I am not very adventurous when trying new foods, but I am so glad that I loved the first dish that I tried here 'Sweet Tuptim'. Love that it is reasonably "
April 2015,"May 5, 2015 ",5,Best restaurant I've eaten at,Excellent food and very friendly and timely service. I've eaten there many times and have always left very satisfied. Get the moneybags. They are great! There is a range of seasonings from mild to hot. My wife and my favorite place to eat.
May 2015,"May 1, 2015 ",5,Excellent Food & Service,The food is great and the service was beyond comparison.  We were greeted and seated as soon as we arrived. All the staff were very friendly and helpful when asked about the different meals.  Food was served fresh and in a timely manner and the 
,"April 24, 2015 ",5,Best restaurant in Topeka,"This is my ""go to"" restaurant in Topeka. All of the food is freshly prepared. The appetizers are all good, although the money bags are particularly popular.  The noodle dishes are my favorite. I always judge a first visit to a Thai restaurant based on "
April 2015,"April 12, 2015 ",3,Good change from the usual,"Need something different in the Asian food department?  This is a must try especially in Topeka, which has way to many Mexican choices. This is a fun change from the Chinese options as well. Start off with the money bags for an appetizer and chose "
August 2014,"April 1, 2015 ",5,Best Thai Around,"Definitely the best Thai I've had while in the USA, and who would have thought it would be in Kansas! When we lived in Topeka for 6 months we ate here almost every week. I miss it alot since we left!
All the the dishes "
March 2015,"March 18, 2015 ",5,profession service,I have visited many restaurants in many countries and Tuptim Thai ranks with the best in the US and Canada for its food and services.
March 2015,"March 17, 2015 ",5,Fabulous,"This  is a fabulous, and authentic Thai resterant. Good variety of choices from vegetarian to typical american meat lovers to authentic seafood options. Searing is fast and service is attentive and prompt. A good selection of drinks as well. I have dined here several times "
November 2014,"March 17, 2015 ",4,"Nice atmosphere,  really yummy Thai food!","This is a very nice restaurant with an excellent selection of Thai curries and other dishes.  The food  service is quick, and the servers really professional.   We always get extra Tom Yum soup to take home, it is SO good!  I especially like the white "
December 2014,"March 17, 2015 ",3,Not sure it is open any more,I have gone there in the past and enjoyed it.  Nothing fancy but good food.  Drove by a couple of times this month and it appears closed
March 2015,"March 17, 2015 ",5,The best Thai restaurant!,"Our family has traveled places in and out of the country and tried Thai restaurants all over- not one matched the authenticity and taste/flavor of Tuptim Thai, from their appetizers to the dessert! This is our go-to restaurant for special occasions."
March 2015,"March 17, 2015 ",4,Great food and service!,"This restaurant and staff consistently do a very good job with service and food is tasty, and always served hot.  They have a good following and many repeat customers.  In a town of mostly fast food and Mexican, this is a welcome relief."
March 2015,"March 5, 2015 ",5,MONEY BAGS and delicious entrees,"I was reluctant to try Tuptim Thai ten years ago, because I don't like spicy and I don't like curry.  I'm so glad a friend invited me a few years ago.  She won me over with their money bags - similar to crab ragoon just "
October 2014,"February 19, 2015 ",5,Love this!,"This is one of my favorite restaurants in Topeka. Topeka does not have many great restaurants, but I think this is one of our best."
January 2015,"February 18, 2015 ",5,Great food.,Excellent choices of authentic dishes. You have to plan return trips to try as many as you can. It's rare to see so many different styles of oriental food in one place. Generous serving. Friendly staff.
July 2014,"February 18, 2015 ",5,Great for Topeka,"Not many food options for a capital city but this one is a must try!
Great food and reasonably price- beats all the chain Wanamaker options"
,"February 15, 2015 ",2,"Good Food, where's the service?",Went there while passing through Topeka. Decided to try this place based on other's reviews and had grown tired of the drive thru.  Was quickly seated but it was more than ten minutes before we were noticed again by the staff.  Once our orders were 
February 2015,"February 13, 2015 ",5,Amazing Thai food!,Best crab fried rice and money bags are to die for. Pad Thai is delicious. Staff is very friendly. I order from here often. Best Thai food around
January 2015,"February 6, 2015 ",5,Love this place!,The crab rice is my favorite dish! The money bags are amazing and I will always be a returning customer here.
December 2014,"February 3, 2015 ",4,coconut milk in your soup?,This place is amazing yes the coconut milk soup is super.   Their  appetizers wrapped in rice paper are all great.   We have tried several different entrys and they always are delightful.  We always have prompt service and hot food at a reasonable pr
January 2015,"January 9, 2015 ",5,Best in town,"I've never been disappointed with this restaurant.  Favorite dishes, pad Thai, soya bean sauce noodle, spring rolls, money bags, cashew nut.  Try the purple ice cream."
October 2014,"January 9, 2015 ",5,"Good Service, Quality Food","Best Thai place in town, also the most popular.  Always good service and quality food.  I have been here many times and have never been disappointed."
,"December 2, 2014 ",5,Thai done right,"This place never let's you down. The service is great, the food fantastic, and if you don't know what you want, just tell your server, they will help you figure it out, but definitely get some appetizers!"
December 2014,"December 2, 2014 ",4,Delicious and Reasonably Priced,"I take my aunt for lunch, and we have to arrive when they open at 11AM in order to get ahead of the lunch crowd. The food is that good, and the prices are reasonable! The staff is prompt, and it is always clean. The "
August 2014,"November 30, 2014 ",4,"fresh ingredients, tasty food","We had been to this restaurant on earlier trips, but this time they exceeded our expectations.  All the food we ordered was prepared with fresh ingredients and tasted very good."
August 2014,"November 3, 2014 ",5,Pad Thai - Wow!,"Pad thai and chicken satey are fantastic. You can request spicy, spicier or spiciest. Mango sticky rice can!t be beat."
October 2014,"November 3, 2014 ",4,Nice lunch options,My daughter eats vegan so it's hard to find a restaurant in Topeka for her when she visits.  She suggested we try it and she was happy to find she had choices.  I found that I had options too and it was delicious.  We'll return.
October 2014,"November 3, 2014 ",4,Wonderful!!,"My husband and I love this place. Great food, and wonderful service. This is a place we will continue to go to."
October 2014,"November 3, 2014 ",4,Tasty Thai Food,I really enjoyed the food! The service was wonderful. I especially enjoyed the 'Money bags' appetizer they were great!
October 2014,"November 3, 2014 ",4,Good,Food was really good except for the octopus it was chewy. Wouldn't order anything with octopus in it again
